sno,model_name,path,id,signals,constants,description_model_name,descripton,requirement,bucket
83,Twotanks_Model,./Twotanks/,Twotanks_Req_2_9,"Tank2SensorHValue, PValveState, EValveState;",T=200000, Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves","When the tank 2 HIGH sensor is TRUE, the emergency valve and the production valve (outflow valves) shall be commanded to be OPEN.",9
84,Twotanks_Model,./Twotanks/,Twotanks_Req_2_10,"Tank2SensorHValue, Tank2SensorMValue, PValveState, EValveState;",T=200000, Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves","When the tank 2 LOW sensor is TRUE and the tank 2 MID sensor is FALSE, then emergency valve shall be commanded to be CLOSED and the production valve shall be commanded to be OPEN.",9
85,Twotanks_Model,./Twotanks/,Twotanks_Req_2_11,"Tank2SensorHValue, Tank2SensorMValue, PValveState, EValveState;",T=200000, Two Tanks model,"The two tanks system contains two separate tanks holding liquid and connected via a pipe. The flow of incoming liquid into the first tankis controlled using a pump. The flow of liquid from the first tank to the second is controlled using a valve, and the flow of outgoingliquid from the second tank is controlled using two different valves","When the tank 2 LOW sensor is TRUE and the tank 2 MID sensor is FALSE, then emergency valve shall be commanded to be CLOSED and the production valve shall be commanded to be OPEN.",9
86,Swim_Model,./Swim/,Swim_Req_1,"CatSwitchPosition, CalAirspeedmin, AircraftGrossWeight;",T=2000,System Wide Integrity Monitor model,A numerical algorithm that computes warning to an operator when the airspeed is approaching a boundary where an evasive fly up maneuver cannot be achieved.,The SWIM Airspeed algorithm shall output the minimum AGCAS airspeed required to perform a 2g,3
87,Swim_Model,./Swim/,Swim_Req_2_1,"WarningAllowed, AgcasLowSpeedWarn, ImpactPressure, Qcmin_lbspft2;",T=2000,System Wide Integrity Monitor model,A numerical algorithm that computes warning to an operator when the airspeed is approaching a boundary where an evasive fly up maneuver cannot be achieved.,"When a low speed warning is allowed, as computed by the SWIM Airspeed algorithm, a low speed warning shall be true when the vehicle air data impact pressure is less than the warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished",99c
88,Swim_Model,./Swim/,Swim_Req_2_2,"WarningAllowed, AgcasLowSpeedWarn, ImpactPressure, Qcmin_lbspft2;",T=2000,System Wide Integrity Monitor model,A numerical algorithm that computes warning to an operator when the airspeed is approaching a boundary where an evasive fly up maneuver cannot be achieved.,"When a low speed warning is allowed, as computed by the SWIM Airspeed algorithm, a low speed warning shall be true when the vehicle air data impact pressure is less than the warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished",99c
89,Regulators_Model,./Regulators/,Regulators_Req_1,lcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Roll Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
90,Regulators_Model,./Regulators/,Regulators_Req_2,mcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Pitch Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
91,Regulators_Model,./Regulators/,Regulators_Req_3,ncvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Yaw Regulator Shall not command angular roll accelerations greater than the capability of the system (50 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
92,Regulators_Model,./Regulators/,Regulators_Req_4,xcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Airspeed Regulator Shall not command angular roll accelerations greater than the capability of the system (32 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
93,Regulators_Model,./Regulators/,Regulators_Req_5,hcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Height Regulator Shall not command angular roll accelerations greater than the capability of the system (32 deg/sec2) for durations exceeding 100 frames (1 second @ 100 hz).,2
94,Regulators_Model,./Regulators/,Regulators_Req_6,lcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Roll Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
95,Regulators_Model,./Regulators/,Regulators_Req_7,mcvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Pitch Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
96,Regulators_Model,./Regulators/,Regulators_Req_8,ncvdt_cmd_fcs_dps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Yaw Regulator Shall not command transient changes in angular roll acceleration greater than 50 deg/sec2/sec.,2
97,Regulators_Model,./Regulators/,Regulators_Req_9,xcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Airspeed Regulator Shall not command transient changes in angular roll acceleration greater than 32 deg/sec2/sec.,2
98,Regulators_Model,./Regulators/,Regulators_Req_10,hcvdt_cmd_fcs_fps2,T=200000,Regulators model,"A PID controller which consists of 5 classical controllers for establishing the desired dynamics of a vehicle for the roll, pitch, yaw, axial, and height channels",The Inner Loop Height Regulator Shall not command transient changes in angular roll acceleration greater than 32 deg/sec2/sec.,2
